CARPETA,Numero de documentos,Nombres de documentos,Número de documentos de tipo video,Nombre de documentos de tipo video,Tamaño (bytes),Tamaño (legible),Formato de video,Numero de subcarpetas,Nombre de subcarpetas,Year,RAW_TITLE,RAW_DIRECTION,RAW_COUNTRY,FOLDER_NAME_TYPE
1941 [1979] US Steven Spielberg,2,1941 ES.srt; 1941.mkv,1,1941.mkv,1583667553,1.5 GB,mkv,0,No,1979,1941,Steven Spielberg,USA,4
2001 A Space Odyssey (1968),5,2001 A Space Odyssey (1968).mp4; Cover.jpg; info.txt; Subtitles.rar; ._Subtitles.rar,1,2001 A Space Odyssey (1968).mp4,1463349866,1.4 GB,mp4,0,No,1968,2001 A Space Odyssey,,,7
A Blueprint For Murder - Stone 1953,3,A Blueprint For Murder - Stone 1953.avi; ._A Blueprint For Murder - Stone 1953.avi; A Blueprint For Murder - Stone 1953.srt,2,A Blueprint For Murder - Stone 1953.avi; ._A Blueprint For Murder - Stone 1953.avi,734236672,700.2 MB,avi,0,No,1953,A Blueprint For Murder,Stone ,,8
A Day at the Races [1937] US Sam Wood,0,,0,,4698497024,4.4 GB,DVD,1,VIDEO_TS,1937,A Day at the Races,Sam Wood,USA,4
A fost sau n-a fost (12.08 East of Bucharest) [2006] RUM Corneliu Porumboiu,1,12.08 Al este de Bucarest - Porumboiu 2006 VOS ES.avi,1,12.08 Al este de Bucarest - Porumboiu 2006 VOS ES.avi,687003648,655.2 MB,avi,0,No,2006,A fost sau n-a fost (12.08 East of Bucharest),Corneliu Porumboiu,ROU,4
A Hatful of Rain [1957] US Zinneman,3,A Hatful of Rain - Zinneman 1957.avi; ._A Hatful of Rain - Zinneman 1957.avi; A Hatful of Rain - Zinneman 1957.srt,2,A Hatful of Rain - Zinneman 1957.avi; ._A Hatful of Rain - Zinneman 1957.avi,848355488,809.1 MB,avi,0,No,1957,A Hatful of Rain,Zinneman,USA,4
A Kiss Before Dying -  Oswald 1956,3,A Kiss Before Dying -  Oswald 1956.avi; ._A Kiss Before Dying -  Oswald 1956.avi; A Kiss Before Dying -  Oswald 1956.srt,2,A Kiss Before Dying -  Oswald 1956.avi; ._A Kiss Before Dying -  Oswald 1956.avi,1579034624,1.5 GB,avi,0,No,1956,A Kiss Before Dying,Oswald ,,8
A most violent year [2014] US JC Chandor,3,A Most Violent Year Trailer (HD) (English Subtitles).srt; ._A Most Violent Year Trailer (HD) (English Subtitles).srt; A.Most.Violent.Year.2014.DVDScr.XVID.AC3.HQ.Hive-CM8.avi,1,A.Most.Violent.Year.2014.DVDScr.XVID.AC3.HQ.Hive-CM8.avi,1738620642,1.6 GB,avi,0,No,2014,A most violent year,JC Chandor,USA,4
A Night at the Opera [1935] US Sam Wood,0,,0,,4704319488,4.4 GB,DVD,1,VIDEO_TS,1935,A Night at the Opera,Sam Wood,USA,4
A Stolen Life - Bernhardt 1946,1,A Stolen Life - Bernhardt 1946.avi,1,A Stolen Life - Bernhardt 1946.avi,733974528,700.0 MB,avi,0,No,1946,A Stolen Life,Bernhardt ,,8
Alabama Monroe [2012] BEL Felix Van Groeningen,9,1.png; 2.png; 3.png; 4.png; First Read This Guide.txt; The.Broken.Circle.Breakdown.2012.720p.BluRay.x264-VeDeTT [PublicHD]-eng.srt; ._The.Broken.Circle.Breakdown.2012.720p.BluRay.x264-VeDeTT [PublicHD]-eng.srt; The.Broken.Circle.Breakdown.2012.BRRip.XviD.AC3-BTRG.avi; www.Torrentday.com.txt,1,The.Broken.Circle.Breakdown.2012.BRRip.XviD.AC3-BTRG.avi,731773974,697.9 MB,avi,0,No,2012,Alabama Monroe,Felix Van Groeningen,BEL,4
Alias Nick Beal [1949] US John Farrow,3,Alias Nick Beal -  Farrow  1949.avi; Alias Nick Beal -  Farrow  1949.srt; ._Alias Nick Beal -  Farrow  1949.srt,1,Alias Nick Beal -  Farrow  1949.avi,736172032,702.1 MB,avi,0,No,1949,Alias Nick Beal,John Farrow,USA,4
Almanya - Wilkommen in Deutschland [2011] GER Yasemina Samdereli,3,Almanya - Samdereli 2011 ES.srt; Almanya - Samdereli 2011.avi; ._Almanya - Samdereli 2011.avi,2,Almanya - Samdereli 2011.avi; ._Almanya - Samdereli 2011.avi,1252763648,1.2 GB,avi,0,No,2011,Almanya - Wilkommen in Deutschland,Yasemina Samdereli,DEU,4
Alta costura [1954] ES Luis Marquina,2,Alta costura - Marquina 1954.avi; ._Alta costura - Marquina 1954.avi,2,Alta costura - Marquina 1954.avi; ._Alta costura - Marquina 1954.avi,732342272,698.4 MB,avi,0,No,1954,Alta costura,Luis Marquina,ESP,4
"Amanece, que no es poco [1989] ES José Luis Cuerda",1,Amanece que no es poco.avi,1,Amanece que no es poco.avi,725846744,692.2 MB,avi,0,No,1989,"Amanece, que no es poco",José Luis Cuerda,ESP,4
American History X [1998] US Tony Kaye,4,American History X DUAL.avi; ._American History X DUAL.avi; American History X ESP.srt; ._American History X ESP.srt,2,American History X DUAL.avi; ._American History X DUAL.avi,2027094016,1.9 GB,avi,0,No,1998,American History X,Tony Kaye,USA,4
