CARPETA|Numero de documentos|Nombres de documentos|Número de documentos de tipo video|Nombre de documentos de tipo video|Tamaño (bytes)|Tamaño (legible)|Formato de video|Tamaño VIDEO_TS (bytes)|Tamaño VIDEO_TS (legible)|Numero de subcarpetas|Nombre de subcarpetas
1941 [1979] US Steven Spielberg|2|1941 ES.srt; 1941.mkv|1|1941.mkv|1583667553|1.5 GB|mkv|||0|
2001 A Space Odyssey (1968)|5|2001 A Space Odyssey (1968).mp4; Cover.jpg; info.txt; Subtitles.rar; ._Subtitles.rar|1|2001 A Space Odyssey (1968).mp4|1463349866|1.4 GB|mp4|||0|
A Blueprint For Murder - Stone 1953|3|A Blueprint For Murder - Stone 1953.avi; ._A Blueprint For Murder - Stone 1953.avi; A Blueprint For Murder - Stone 1953.srt|2|A Blueprint For Murder - Stone 1953.avi; ._A Blueprint For Murder - Stone 1953.avi|734232576; 4096|700.2 MB; 4.0 KB|avi|||0|
A Day at the Races [1937] US Sam Wood|0||0||||DVD|4698497024|4.4 GB|1|VIDEO_TS
A fost sau n-a fost (12.08 East of Bucharest) [2006] RUM Corneliu Porumboiu|1|12.08 Al este de Bucarest - Porumboiu 2006 VOS ES.avi|1|12.08 Al este de Bucarest - Porumboiu 2006 VOS ES.avi|687003648|655.2 MB|avi|||0|
A Hatful of Rain [1957] US Zinneman|3|A Hatful of Rain - Zinneman 1957.avi; ._A Hatful of Rain - Zinneman 1957.avi; A Hatful of Rain - Zinneman 1957.srt|2|A Hatful of Rain - Zinneman 1957.avi; ._A Hatful of Rain - Zinneman 1957.avi|848351392; 4096|809.1 MB; 4.0 KB|avi|||0|
A Kiss Before Dying -  Oswald 1956|3|A Kiss Before Dying -  Oswald 1956.avi; ._A Kiss Before Dying -  Oswald 1956.avi; A Kiss Before Dying -  Oswald 1956.srt|2|A Kiss Before Dying -  Oswald 1956.avi; ._A Kiss Before Dying -  Oswald 1956.avi|1579030528; 4096|1.5 GB; 4.0 KB|avi|||0|
A most violent year [2014] US JC Chandor|3|A Most Violent Year Trailer (HD) (English Subtitles).srt; ._A Most Violent Year Trailer (HD) (English Subtitles).srt; A.Most.Violent.Year.2014.DVDScr.XVID.AC3.HQ.Hive-CM8.avi|1|A.Most.Violent.Year.2014.DVDScr.XVID.AC3.HQ.Hive-CM8.avi|1738620642|1.6 GB|avi|||0|
A Night at the Opera [1935] US Sam Wood|0||0||||DVD|4704319488|4.4 GB|1|VIDEO_TS
A Stolen Life - Bernhardt 1946|1|A Stolen Life - Bernhardt 1946.avi|1|A Stolen Life - Bernhardt 1946.avi|733974528|700.0 MB|avi|||0|
Alabama Monroe [2012] BEL Felix Van Groeningen|9|1.png; 2.png; 3.png; 4.png; First Read This Guide.txt; The.Broken.Circle.Breakdown.2012.720p.BluRay.x264-VeDeTT [PublicHD]-eng.srt; ._The.Broken.Circle.Breakdown.2012.720p.BluRay.x264-VeDeTT [PublicHD]-eng.srt; The.Broken.Circle.Breakdown.2012.BRRip.XviD.AC3-BTRG.avi; www.Torrentday.com.txt|1|The.Broken.Circle.Breakdown.2012.BRRip.XviD.AC3-BTRG.avi|731773974|697.9 MB|avi|||0|
Alias Nick Beal [1949] US John Farrow|3|Alias Nick Beal -  Farrow  1949.avi; Alias Nick Beal -  Farrow  1949.srt; ._Alias Nick Beal -  Farrow  1949.srt|1|Alias Nick Beal -  Farrow  1949.avi|736172032|702.1 MB|avi|||0|
Almanya - Wilkommen in Deutschland [2011] GER Yasemina Samdereli|3|Almanya - Samdereli 2011 ES.srt; Almanya - Samdereli 2011.avi; ._Almanya - Samdereli 2011.avi|2|Almanya - Samdereli 2011.avi; ._Almanya - Samdereli 2011.avi|1252759552; 4096|1.2 GB; 4.0 KB|avi|||0|
Alta costura [1954] ES Luis Marquina|2|Alta costura - Marquina 1954.avi; ._Alta costura - Marquina 1954.avi|2|Alta costura - Marquina 1954.avi; ._Alta costura - Marquina 1954.avi|732338176; 4096|698.4 MB; 4.0 KB|avi|||0|
Amanece, que no es poco [1989] ES José Luis Cuerda|1|Amanece que no es poco.avi|1|Amanece que no es poco.avi|725846744|692.2 MB|avi|||0|
American History X [1998] US Tony Kaye|4|American History X DUAL.avi; ._American History X DUAL.avi; American History X ESP.srt; ._American History X ESP.srt|2|American History X DUAL.avi; ._American History X DUAL.avi|2027089920; 4096|1.9 GB; 4.0 KB|avi|||0|
Amintiri din epoca de aur (Tales from the Golden Age) [2009] RUM Cristian Mungiu|4|Historias de la edad de oro - Mungiu 2009 1 ES.srt; Historias de la edad de oro - Mungiu 2009 1.avi; Historias de la edad de oro - Mungiu 2009 2 ES.srt; Historias de la edad de oro - Mungiu 2009 2.avi|2|Historias de la edad de oro - Mungiu 2009 1.avi; Historias de la edad de oro - Mungiu 2009 2.avi|1021227008; 733542394|973.9 MB; 699.6 MB|avi|||0|
Annie Hall [1977] US Woody Allen|1|Annie Hall (Woody Allen 1977) XviD DVDRip.avi|1|Annie Hall (Woody Allen 1977) XviD DVDRip.avi|730449920|696.6 MB|avi|||0|
Antichrist [2009] DEN Lars Von Trier|1|Antichrist (2009) VOS.rmvb|1|Antichrist (2009) VOS.rmvb|435184260|415.0 MB|rmvb|||0|
Apartado de Correos 1001 - Salvador 1950|1|Apartado de Correos 1001 - Salvador 1950.avi|1|Apartado de Correos 1001 - Salvador 1950.avi|1011298304|964.4 MB|avi|||0|
Armonías de Werckmeister - Tarr 2000|4|Armonías de Werckmeister - Tarr 2000.mpg; ._Armonías de Werckmeister - Tarr 2000.mpg; B├®la Tarr-Werckmeister harm├│ni├ík (2000).FR.srt; ._B├®la Tarr-Werckmeister harm├│ni├ík (2000).FR.srt|2|Armonías de Werckmeister - Tarr 2000.mpg; ._Armonías de Werckmeister - Tarr 2000.mpg|823542160; 4096|785.4 MB; 4.0 KB|mpg|||0|
Asmaa - Salama 2011|1|Asmaa - Salama 2011.mpg|1|Asmaa - Salama 2011.mpg|1534687232|1.4 GB|mpg|||0|
At the Circus [1939] US Edward Buzzell|0||0||||DVD|4429854720|4.1 GB|1|VIDEO_TS
Audition [1999] JAP Takashi Miike|2|Audition [1999]-AKHiUgO [h33t].avi; tracked_by_h33t_com.txt|1|Audition [1999]-AKHiUgO [h33t].avi|1178920960|1.1 GB|avi|||0|
Awakenings [1990] US Penny Marshall|4|Awakenings.1990.544x288.25fps.729kbs.V5mp3.MultiSub.WunSeeDee.avi; Awakenings.1990.544x288.25fps.729kbs.V5mp3.MultiSub.WunSeeDee.Spanish.srt; Awakenings.1990.544x288.25fps.729kbs.V5mp3.MultiSub.WunSeeDee.Subs.rar; ._Awakenings.1990.544x288.25fps.729kbs.V5mp3.MultiSub.WunSeeDee.Subs.rar|1|Awakenings.1990.544x288.25fps.729kbs.V5mp3.MultiSub.WunSeeDee.avi|735619072|701.5 MB|avi|||0|
Baby the Rain Must Fall - Mulligan 1965|4|Baby the Rain Must Fall - Mulligan 1965.avi; ._Baby the Rain Must Fall - Mulligan 1965.avi; Baby the Rain Must Fall - Mulligan 1965.srt; ._Baby the Rain Must Fall - Mulligan 1965.srt|2|Baby the Rain Must Fall - Mulligan 1965.avi; ._Baby the Rain Must Fall - Mulligan 1965.avi|1135796224; 4096|1.1 GB; 4.0 KB|avi|||0|
Back to the Future I|3|Back.to.the.Future.1985.1080p.BluRay.x264.anoXmous_.mp4; Back.to.the.Future.1985.1080p.BluRay.x264.anoXmous_eng.srt; Back.to.the.Future.1985.1080p.BluRay.x264.anoXmous_swe.srt|1|Back.to.the.Future.1985.1080p.BluRay.x264.anoXmous_.mp4|2150607414|2.0 GB|mp4|||0|
Back to the Future II|3|Back.to.the.Future.II.1989.1080p.BluRay.x264.anoXmous_.mp4; Back.to.the.Future.II.1989.1080p.BluRay.x264.anoXmous_eng.srt; Back.to.the.Future.II.1989.1080p.BluRay.x264.anoXmous_swe.srt|1|Back.to.the.Future.II.1989.1080p.BluRay.x264.anoXmous_.mp4|2001551398|1.9 GB|mp4|||0|
Back to the Future III|3|Back.to.the.Future.III.1990.1080p.BluRay.x264.anoXmous_.mp4; Back.to.the.Future.III.1990.1080p.BluRay.x264.anoXmous_eng.srt; Back.to.the.Future.III.1990.1080p.BluRay.x264.anoXmous_swe.srt|1|Back.to.the.Future.III.1990.1080p.BluRay.x264.anoXmous_.mp4|2192051139|2.0 GB|mp4|||0|
Bad for Each Other - Rapper1953|2|Bad for Each Other - Rapper1953.avi; Bad for Each Other - Rapper1953.srt|1|Bad for Each Other - Rapper1953.avi|1072128000|1022.5 MB|avi|||0|
Bad Lieutenant [1992] Abel Ferrara|4|Bad Lieutenant (1992) [720p] x264 - Jalucian.jpg; Bad Lieutenant (1992) [720p] x264 - Jalucian.mp4; Bad Lieutenant (1992) [720p] x264 - Jalucian.srt; Bad Lieutenant (1992) [720p] x264 - Jalucian.txt|1|Bad Lieutenant (1992) [720p] x264 - Jalucian.mp4|840974920|802.0 MB|mp4|||0|
Balada Triste De Trompeta [DVDRIP][Spanish][2011]|1|Balada Triste De Trompeta [DVDRIP][Spanish][2011].avi|1|Balada Triste De Trompeta [DVDRIP][Spanish][2011].avi|1244147322|1.2 GB|avi|||0|
Basquiat [1997] US|1|Basquiat.avi|1|Basquiat.avi|731664384|697.8 MB|avi|||0|
Batman (1989)|3|Batman.1989.1080p.BluRay.x264.YIFY.mp4; Batman.1989.1080p.BluRay.x264.YIFY.srt; WWW.YIFY-TORRENTS.COM.jpg|1|Batman.1989.1080p.BluRay.x264.YIFY.mp4|1612076076|1.5 GB|mp4|||1|Other
Batman Returns (1992)|2|Batman.Returns.1992.720p.BRrip.x264.YIFY.mp4; Batman.Returns.1992.720p.BRrip.x264.YIFY.srt|1|Batman.Returns.1992.720p.BRrip.x264.YIFY.mp4|891439616|850.1 MB|mp4|||0|
Beau travail - Denis 1999|4|Beau travail - Denis 1999.avi; ._Beau travail - Denis 1999.avi; Beau travail - Denis 1999.srt; ._Beau travail - Denis 1999.srt|2|Beau travail - Denis 1999.avi; ._Beau travail - Denis 1999.avi|731869184; 4096|698.0 MB; 4.0 KB|avi|||0|
Bedlam - Robson 1946|4|Bedlam - Robson 1946.avi; ._Bedlam - Robson 1946.avi; Bedlam - Robson 1946.srt; ._Bedlam - Robson 1946.srt|2|Bedlam - Robson 1946.avi; ._Bedlam - Robson 1946.avi|837734400; 4096|798.9 MB; 4.0 KB|avi|||0|
Beetlejuice.1988.1080p.BluRay.x264.anoXmous|3|Beetlejuice.1988.1080p.BluRay.x264.anoXmous_.mp4; Beetlejuice.1988.1080p.BluRay.x264.anoXmous_eng[SDH].srt; Beetlejuice.1988.1080p.BluRay.x264.anoXmous_swe.srt|1|Beetlejuice.1988.1080p.BluRay.x264.anoXmous_.mp4|1706883077|1.6 GB|mp4|||0|
Belle de jour [1967] FR Luis Buñuel|2|Belle de Jour eng.avi; Belle de Jour eng.srt|1|Belle de Jour eng.avi|734214144|700.2 MB|avi|||0|
Benny's Video [1992] AUSTRIA|2|Benny's Video - Haneke 1992.avi; ._Benny's Video - Haneke 1992.avi|2|Benny's Video - Haneke 1992.avi; ._Benny's Video - Haneke 1992.avi|741505024; 4096|707.2 MB; 4.0 KB|avi|||0|
Besieged - Bertolucci 1998|2|Besieged - Bertolucci 1998.avi; Besieged - Bertolucci 1998.srt|1|Besieged - Bertolucci 1998.avi|736206848|702.1 MB|avi|||0|
Big Eyes (2014)|2|Big.Eyes.2014.720p.BluRay.x264-SPARKS.srt; Big.Eyes.2014.720p.BluRay.x264.YIFY.mp4|1|Big.Eyes.2014.720p.BluRay.x264.YIFY.mp4|850951595|811.5 MB|mp4|||0|
Big Fish [2003] US Tim Burton|1|Big Fish (2003).720p.700mb.mkv|1|Big Fish (2003).720p.700mb.mkv|729356984|695.6 MB|mkv|||0|
Big Hero 6 [2014] US Don Hall & Chris Williams|2|Big.Hero.6.2014.720p.BluRay.x264.YIFY.mp4; WWW.YTS.RE.jpg|1|Big.Hero.6.2014.720p.BluRay.x264.YIFY.mp4|849415760|810.1 MB|mp4|||0|
Birdman (2014)|4|Birdman.2014.720p.BluRay.x264-SPARKS.srt; ._Birdman.2014.720p.BluRay.x264-SPARKS.srt; Birdman.2014.720p.BluRay.x264.YIFY.mp4; WWW.YTS.RE.jpg|1|Birdman.2014.720p.BluRay.x264.YIFY.mp4|908665147|866.6 MB|mp4|||0|
Black cat, White cat [1998] YUG Emir Kusturica|1|Crna Macka, Beli Macor (Black Cat, White Cat) [1998].mkv|1|Crna Macka, Beli Macor (Black Cat, White Cat) [1998].mkv|735400305|701.3 MB|mkv|||0|
